# time,current,ang.x, ang.y, ang.z, rate.x, rate.y, rate.z, accel.total, fall time, fall current
3.399999999999999911e+00,1.072777416006415478e+03,5.446598059373833678e+01,-2.797083039064923726e-03,3.418356447105840346e+01,2.208751075172712408e+00,-6.278545519134124397e-01,2.882015678938462777e+00,9.761208797442520790e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.416666666666666519e+00,1.062875648898826967e+03,5.450440103941642889e+01,-4.829741742246859704e-02,3.420856040123148034e+01,2.416739161843313166e+00,-3.207994576135242415e-01,3.042750147566133379e+00,9.839251142788999260e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.433333333333333126e+00,1.026804078599857348e+03,5.454549242740408488e+01,-8.976741277015964915e-02,3.423730422216955560e+01,2.472124560499209700e+00,-1.803207568257866877e-02,2.996922253308423656e+00,9.891185854491233442e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e+00,9.553977620150106986e+02,5.458817819378959513e+01,-1.279765600203638110e-01,3.426455292966151944e+01,2.387779846225962732e+00,-3.473484409589738808e-02,2.825550640599606034e+00,9.890431471356162518e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.466666666666666785e+00,8.499559964087529806e+02,5.462822372402416704e+01,-1.653807417249089917e-01,3.428352517093767915e+01,2.075677920351905570e+00,-4.588726054872163118e-01,2.545724433613992588e+00,9.865542664645509774e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.483333333333333393e+00,7.324344596625181794e+02,5.466193634677949831e+01,-2.030674972964043312e-01,3.429014793984575959e+01,1.618990150522347626e+00,-1.083429409704122826e+00,2.142300250230730896e+00,9.850333723047295820e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+00,6.300231395207731566e+02,5.468895651785749124e+01,-2.396542660386847545e-01,3.428566563295809999e+01,1.250487519540814052e+00,-1.555604274773865647e+00,1.666536077760000900e+00,9.856051935389121610e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.516666666666666607e+00,5.597898674468856370e+02,5.471139313984976837e+01,-2.726972821705826444e-01,3.427569540775952817e+01,1.092382455206114988e+00,-1.637388785466403984e+00,1.255608664672945407e+00,9.873627478251037815e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.533333333333333215e+00,5.245839734915663257e+02,5.472980824711822834e+01,-3.009807317228985202e-01,3.426649117079473683e+01,9.850038363969296773e-01,-1.383405662998960839e+00,1.012395960712370480e+00,9.879888398897177737e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.549999999999999822e+00,5.167200598775091294e+02,5.474606620776717136e+01,-3.250231450842926417e-01,3.426146294901280953e+01,1.018117706311240322e+00,-1.026167872821496019e+00,9.672781809866476399e-01,9.871295532804849060e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.566666666666666430e+00,5.240458490120081478e+02,5.476519376051553678e+01,-3.476393753934509112e-01,3.426229034495420933e+01,1.313308133224174945e+00,-7.000791362608542734e-01,1.115313306391374937e+00,9.856648475990290592e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.583333333333333481e+00,5.353923746252776255e+02,5.479080270026631894e+01,-3.714301363428573755e-01,3.426919724917211596e+01,1.729758161231807367e+00,-4.579606489921099755e-01,1.393855388173496301e+00,9.847377771082491904e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.600000000000000089e+00,5.436451824849502827e+02,5.482162768244938889e+01,-3.973592854627763238e-01,3.428063551844913803e+01,1.946597947418830410e+00,-3.292543528934214203e-01,1.665047794752717358e+00,9.849553638765510044e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.616666666666666696e+00,5.462648954290282290e+02,5.485231600969702725e+01,-4.245476390715957615e-01,3.429346413971225616e+01,1.786599755232570530e+00,-3.136614610326167729e-01,1.750350251085490250e+00,9.862249670167702931e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.633333333333333304e+00,5.440841934971003866e+02,5.487957866989875555e+01,-4.500917797772260309e-01,3.430481026584794790e+01,1.501600782350194896e+00,-3.171047015280330506e-01,1.596334906167376388e+00,9.884893385765781915e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.649999999999999911e+00,5.394880750240057523e+02,5.490329644294057232e+01,-4.710479665226453005e-01,3.431406117072202022e+01,1.261355618031239079e+00,-2.505903332432596331e-01,1.283725280414873549e+00,9.906250063284005591e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.666666666666666519e+00,5.348303411266684861e+02,5.492254595389636762e+01,-4.860859061610667275e-01,3.432074656365048781e+01,1.011578794003119564e+00,-1.763995265096273968e-01,9.147130602181204884e-01,9.915362562931873569e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.683333333333333126e+00,5.315114681821435170e+02,5.493654719204131709e+01,-4.959768581070527205e-01,3.432425687888717647e+01,7.324943258790409528e-01,-1.711762190075958312e-01,5.763538601627329339e-01,9.913957435440394761e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.699999999999999734e+00,5.298818995295379182e+02,5.494601629155530276e+01,-5.025429448621381301e-01,3.432486790522574438e+01,5.149224977820348048e-01,-2.121758251237546578e-01,3.369577722714625634e-01,9.908296218544000666e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.716666666666666785e+00,5.295557368300732151e+02,5.495295362582689336e+01,-5.074243853570146179e-01,3.432417461206755149e+01,4.294670147915916614e-01,-2.154635464613678941e-01,2.322001809584308685e-01,9.898811174486350950e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.733333333333333393e+00,5.298179501284729440e+02,5.495899391526237565e+01,-5.118665447114034706e-01,3.432382698068578009e+01,4.175570450922060917e-01,-1.783900126915896889e-01,2.358788862185961233e-01,9.888443626186047553e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.750000000000000000e+00,5.299717303245495259e+02,5.496478026265499750e+01,-5.169414312450304472e-01,3.432426487153414740e+01,4.244817719920369603e-01,-1.619286334034789887e-01,2.978754382138535939e-01,9.876268811257020275e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.766666666666666607e+00,5.296019586891343351e+02,5.497078343541620882e+01,-5.229510116186151247e-01,3.432550890805739385e+01,4.440125544371297805e-01,-1.579773304760000163e-01,3.663829398389238934e-01,9.865049024579395365e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.783333333333333215e+00,5.286202638845659294e+02,5.497745376163659614e+01,-5.296011835650290545e-01,3.432771571087390328e+01,4.735177014356051761e-01,-1.316901736313138560e-01,4.175398234972453881e-01,9.859270675274444784e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.799999999999999822e+00,5.272684504577073312e+02,5.498505215205049979e+01,-5.364552810480978096e-01,3.433101943195532613e+01,4.984743582473459833e-01,-8.184327229772106471e-02,4.507167184479634603e-01,9.858751328004556669e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.816666666666666430e+00,5.259449662753485200e+02,5.499349609858219878e+01,-5.431979029371261092e-01,3.433503803238700414e+01,5.078316113982583868e-01,-4.844415030325896487e-02,4.632661258037262253e-01,9.858272973227698799e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.833333333333333481e+00,5.249540413436429844e+02,5.500252220985420593e+01,-5.494637900297272282e-01,3.433869588432078501e+01,5.000966445376942016e-01,-6.275154344150879471e-02,4.342978139086595135e-01,9.859300623024706667e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.850000000000000089e+00,5.244089178123665533e+02,5.501099048013217896e+01,-5.551463949371824302e-01,3.434129914018453889e+01,4.405707111805603482e-01,-1.000217530071640659e-01,3.734921693311977764e-01,9.862932276164414702e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.866666666666666696e+00,5.241902656460367780e+02,5.501794544823501099e+01,-5.599974760452877121e-01,3.434281221567914599e+01,3.501985028249451348e-01,-1.220072825515569476e-01,2.950991161652971595e-01,9.867588336235249002e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.883333333333333304e+00,5.240704817186126547e+02,5.502317629506749341e+01,-5.640549633364568827e-01,3.434350405237383086e+01,2.706032438541238205e-01,-1.257217539230424674e-01,2.241920366758410887e-01,9.871710515716777934e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.899999999999999911e+00,5.238543531374962186e+02,5.502709081999610419e+01,-5.675648714675237683e-01,3.434374882760845793e+01,2.278266631085628102e-01,-1.230368792764632707e-01,1.833956618025532337e-01,9.874444355722637567e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.916666666666666519e+00,5.234440612640660220e+02,5.503030730127645143e+01,-5.706938865820694318e-01,3.434393354085318606e+01,2.244136833681336096e-01,-1.106073107886877960e-01,1.733609926515759236e-01,9.875485313755017813e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.933333333333333126e+00,5.229168099505462806e+02,5.503343756595480585e+01,-5.736326195399292782e-01,3.434422120963412084e+01,2.500077214834795503e-01,-1.014011297470174822e-01,1.757176669318881723e-01,9.876824850150704549e+00,0.000000000000000000e+00,0.000000000000000000e+00
