# time,current,ang.x, ang.y, ang.z, rate.x, rate.y, rate.z, accel.total, fall time, fall current
4.966666666666666785e+00,1.076109729841365834e+03,-4.539315292038618566e+01,4.711114119952562795e+00,-9.300850072245042099e+01,-2.729741278898934809e+00,-1.427057606816486857e+00,-8.147833144420961737e-01,9.870610646850844105e+00,3.038333333333333286e+01,-1.874929796087976897e+01
4.983333333333333393e+00,1.074732781634824505e+03,-4.544506748673848762e+01,4.683145301424366025e+00,-9.299858931141795892e+01,-2.938786716981756975e+00,-1.724477762547579118e+00,-8.308539998319344200e-01,9.899079586082486060e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.065147313535841931e+03,-4.550596122331234028e+01,4.650361087133612514e+00,-9.298610068636476456e+01,-3.574572988496167447e+00,-2.011181752030264391e+00,-9.069745210817850012e-01,9.912330024561544661e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.016666666666666607e+00,1.031713856547977230e+03,-4.557758497415225207e+01,4.613522787997787589e+00,-9.297116118371934590e+01,-4.344748274777161967e+00,-2.277117944882636635e+00,-9.780245712314652451e-01,9.914344435566713187e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.033333333333333215e+00,9.643350312915619043e+02,-4.565803915348605813e+01,4.574050607740719698e+00,-9.295413428358465069e+01,-4.881920813472910403e+00,-2.413723541671199957e+00,-9.964588802304028547e-01,9.920760820330709606e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.049999999999999822e+00,8.630214302941609503e+02,-4.574059224292667380e+01,4.534989692982905218e+00,-9.293684649612839621e+01,-5.102592952438201657e+00,-2.401478882034189688e+00,-9.921089740198176798e-01,9.927561455495352405e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.066666666666666430e+00,7.465738474006237766e+02,-4.582498778836042419e+01,4.496000941612247281e+00,-9.291997666039223702e+01,-5.348004857798541956e+00,-2.421650351233147536e+00,-1.050878343836540552e+00,9.917569890739747152e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.083333333333333037e+00,6.420987901449293531e+02,-4.591871723457537513e+01,4.453409114299919480e+00,-9.290253289269367087e+01,-6.071363373272568253e+00,-2.676822824304727177e+00,-1.245549311067263965e+00,9.882203425283805132e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.099999999999999645e+00,5.681559026645072663e+02,-4.603279134550772511e+01,4.401953258044571271e+00,-9.288280738786149016e+01,-7.400698170432528755e+00,-3.209274078175225142e+00,-1.584923786596733830e+00,9.833152019107767927e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.116666666666666252e+00,5.293233675496364867e+02,-4.617578841547623369e+01,4.337135288893490426e+00,-9.285968587514052786e+01,-8.964510342287722366e+00,-3.851283495456087280e+00,-2.007219890307041954e+00,9.798939055120605701e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.133333333333332860e+00,5.188992589381089147e+02,-4.633792269704957079e+01,4.262652005013764622e+00,-9.283560102747186704e+01,-1.005188371075703557e+01,-4.235591013201650767e+00,-2.393767422837188352e+00,9.809284997401219286e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.150000000000000355e+00,5.249327602934409924e+02,-4.650646345604788934e+01,4.183569815374364786e+00,-9.281458808753518497e+01,-1.027253389255590044e+01,-4.172549558785690671e+00,-2.654596897147488477e+00,9.873567604947616871e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.166666666666666963e+00,5.359290760316195019e+02,-4.666727630887630340e+01,4.106215404614708575e+00,-9.280009207307664099e+01,-9.718812586650155794e+00,-3.708949648175106972e+00,-2.796018289172776505e+00,9.947399342069374484e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.183333333333333570e+00,5.442546149719571531e+02,-4.681082402931559727e+01,4.035804232021567017e+00,-9.279425637227970469e+01,-8.690709395678409166e+00,-3.006416291925527062e+00,-2.848918695047272909e+00,9.980939933494241245e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.200000000000000178e+00,5.470022086389831202e+02,-4.693525054916246830e+01,3.974421250015415019e+00,-9.279692422603714874e+01,-7.474604523418951096e+00,-2.269175296471498182e+00,-2.811572206648980110e+00,9.965721509163852687e+00,0.000000000000000000e+00,0.000000000000000000e+00
